id_hospital;nome_hospital;codigo_municipio;nome_municipio_hospital;uf_hospital;estado_hospital;latitude_hospital;longitude_hospital;leitos_totais;leitos_sus;leitos_nao_sus;tipo_unidade;nivel_hierarquico;natureza_juridica;porte_hospitalar;alta_complexidade;percentual_sus
2080664;Hospital CNES 2080664;355500;Tupã;SP;Sao Paulo;-21,9335;-50,5191;1896;1704;192;05;;3999;Grande Porte;Baixa/Media Complexidade;89,87
2080680;Hospital CNES 2080680;353060;Mogi das Cruzes;SP;Sao Paulo;-23,5208;-46,1854;3816;3746;70;05;;1023;Grande Porte;Baixa/Media Complexidade;98,17
2080699;Hospital CNES 2080699;353870;Piracicaba;SP;Sao Paulo;-22,7338;-47,6476;2667;12;2655;05;;2143;Grande Porte;Baixa/Media Complexidade;0,45
2080729;Hospital CNES 2080729;355100;São Vicente;SP;Sao Paulo;-23,9574;-46,3883;1152;12;1140;05;;3999;Grande Porte;Baixa/Media Complexidade;1,04
2080737;Hospital CNES 2080737;351660;Gália;SP;Sao Paulo;-22,2918;-49,5504;540;324;216;05;;3999;Grande Porte;Baixa/Media Complexidade;60,0
2080745;Hospital CNES 2080745;354630;Santa Cruz das Palmeiras;SP;Sao Paulo;-21,8235;-47,248;419;300;119;05;;3999;Grande Porte;Baixa/Media Complexidade;71,6
2080753;Hospital CNES 2080753;351620;Franca;SP;Sao Paulo;-20,5352;-47,4039;424;0;424;05;;2062;Grande Porte;Baixa/Media Complexidade;0,0
2080761;Hospital CNES 2080761;354980;São José do Rio Preto;SP;Sao Paulo;-20,8113;-49,3758;423;0;423;07;;2062;Grande Porte;Baixa/Media Complexidade;0,0
2080788;Hospital CNES 2080788;355030;São Paulo;SP;Sao Paulo;-23,5329;-46,6395;576;576;0;05;;1031;Grande Porte;Baixa/Media Complexidade;100,0
2080796;Hospital CNES 2080796;355030;São Paulo;SP;Sao Paulo;-23,5329;-46,6395;3679;0;3679;05;;3999;Grande Porte;Baixa/Media Complexidade;0,0
2080818;Hospital CNES 2080818;355030;São Paulo;SP;Sao Paulo;-23,5329;-46,6395;3768;0;3768;05;;2054;Grande Porte;Baixa/Media Complexidade;0,0
2080826;Hospital CNES 2080826;352190;Itajobi;SP;Sao Paulo;-21,3123;-49,0629;600;420;180;05;;3999;Grande Porte;Baixa/Media Complexidade;70,0
2080842;Hospital CNES 2080842;351000;Cândido Mota;SP;Sao Paulo;-22,7471;-50,3873;360;300;60;05;;3999;Grande Porte;Baixa/Media Complexidade;83,33
2080869;Hospital CNES 2080869;353660;Paulo de Faria;SP;Sao Paulo;-20,0296;-49,4;288;216;72;05;;3999;Grande Porte;Baixa/Media Complexidade;75,0
2080915;Hospital CNES 2080915;350640;Bilac;SP;Sao Paulo;-21,404;-50,4746;432;420;12;05;;3999;Grande Porte;Baixa/Media Complexidade;97,22
2080923;Hospital CNES 2080923;354970;São José do Rio Pardo;SP;Sao Paulo;-21,5953;-46,8873;1656;1032;624;05;;3999;Grande Porte;Baixa/Media Complexidade;62,32
2080931;Hospital CNES 2080931;354890;São Carlos;SP;Sao Paulo;-22,0174;-47,886;3224;2180;1044;05;;3999;Grande Porte;Baixa/Media Complexidade;67,62
2080958;Hospital CNES 2080958;353530;Palmital;SP;Sao Paulo;-22,7858;-50,218;516;348;168;05;;3999;Grande Porte;Baixa/Media Complexidade;67,44
2080966;Hospital CNES 2080966;351520;Estrela d'Oeste;SP;Sao Paulo;-20,2875;-50,4049;612;375;237;05;;3999;Grande Porte;Baixa/Media Complexidade;61,27
2080974;Hospital CNES 2080974;355030;São Paulo;SP;Sao Paulo;-23,5329;-46,6395;526;0;526;07;;2062;Grande Porte;Baixa/Media Complexidade;0,0
2080982;Hospital CNES 2080982;351190;Clementina;SP;Sao Paulo;-21,5604;-50,4525;288;252;36;05;;3999;Grande Porte;Baixa/Media Complexidade;87,5
2080990;Hospital CNES 2080990;352900;Marília;SP;Sao Paulo;-22,2171;-49,9501;1956;960;996;07;;3999;Grande Porte;Baixa/Media Complexidade;49,08
2081016;Hospital CNES 2081016;353070;Mogi Guaçu;SP;Sao Paulo;-22,3675;-46,9428;1656;0;1656;05;;2062;Grande Porte;Baixa/Media Complexidade;0,0
2081032;Hospital CNES 2081032;354390;Rio Claro;SP;Sao Paulo;-22,3984;-47,5546;636;0;636;05;;2143;Grande Porte;Baixa/Media Complexidade;0,0
2081040;Hospital CNES 2081040;350330;Araras;SP;Sao Paulo;-22,3572;-47,3842;1053;0;1053;05;;2143;Grande Porte;Baixa/Media Complexidade;0,0
2081059;Hospital CNES 2081059;353650;Paulínia;SP;Sao Paulo;-22,7542;-47,1488;1320;1272;48;05;;1244;Grande Porte;Baixa/Media Complexidade;96,36
2081075;Hospital CNES 2081075;352050;Indaiatuba;SP;Sao Paulo;-23,0816;-47,2101;120;14;106;62;;2062;Medio Porte;Baixa/Media Complexidade;11,67
2081083;Hospital CNES 2081083;350400;Assis;SP;Sao Paulo;-22,66;-50,4183;1368;828;540;05;;3999;Grande Porte;Baixa/Media Complexidade;60,53
